,Body_Dimensions,Body_SIM,Body_Weight,Display_Resolution,Display_Size,Display_Type,Launch_Announced,Memory_Card slot,Memory_Internal,Name,Network_Technology,Platform_CPU,Platform_OS,Battery_Type,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Features_Sensors,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Misc_Price,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Loudspeaker,Selfie camera_Dual,Selfie camera_Triple,Main Camera_Quad,Main Camera_Dual or Triple,Main Camera_Penta,Main Camera_Five,Device_label,Brand
2297,92.5 x 47.5 x 16.9 mm (3.64 x 1.87 x 0.67 in),Mini-SIM,86 g (3.03 oz),176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm2 (~28.7% screen-to-body ratio)","TFT,  256K colors","2010, August. Released 2010, September",microSD (dedicated slot),5MB,LG A130,GSM / UMTS,,,Removable Li-Ion 900 mAh battery,Yes,,,No,FM radio,microUSB,No,,,,VGA,,176x144@15fps,,,,,No,Yes,,,,,,,phone,lg
2298,103 x 49.9 x 15.3 mm (4.06 x 1.96 x 0.60 in),Mini-SIM,119 g (4.20 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~34.7% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, October",microSDHC (dedicated slot),80MB,LG GW370 Rumour Plus,GSM / HSPA,,,Removable Li-Ion 950 mAh battery,"2.0, A2DP",,,No,FM radio,microUSB 2.0,No,Accelerometer,,,2 MP,,Yes,About 40 EUR,,,,No,Yes,,,,,,,phone,lg
2299,105.5 x 51 x 12.4 mm (4.15 x 2.01 x 0.49 in),Mini-SIM,132 g (4.66 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~33.2% screen-to-body ratio)","TFT, 65K colors","2010, August. Released 2010, August",microSDHC (dedicated slot),60MB,LG GD550 Pure,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,,,"5 MP, AF",,480p@30fps,About 50 EUR,,,,No,Yes,,,,,,,phone,lg
2300,101.5 x 51 x 16.8 mm (4.00 x 2.01 x 0.66 in),Mini-SIM,111 g (3.92 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~34.5% screen-to-body ratio)","TFT, 256K colors","2010, August. Released 2010, August",microSDHC (dedicated slot),,LG KS365,GSM,,,Removable Li-Ion 800 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,,,2 MP,,320p@15fps,About 30 EUR,,,,No,Yes,,,,,,,phone,lg
2301,111.5 x 51.5 x 13.9 mm (4.39 x 2.03 x 0.55 in),Mini-SIM,127 g (4.48 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.6% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, August",No,,LG GM650s,GSM / HSPA,,,Removable Li-Ion 1250 mAh battery,"2.1, A2DP",,,No,Stereo FM radio,microUSB 2.0,No,,,,3.15 MP,,Yes,,,,,No,Yes,,,,,,,phone,lg
2302,106.7 x 51.9 x 12.9 mm (4.20 x 2.04 x 0.51 in),Mini-SIM,-,"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~46.3% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, April. Released 2010, April","microSDHC (dedicated slot), 2 GB included",,LG Scarlet II TV,GSM,,,Removable Li-Ion 1100 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,,,3.15 MP,,320p@15fps,,,,,No,Yes,,,,,,,phone,lg
2303,102.4 x 56.4 x 11.9 mm (4.03 x 2.22 x 0.47 in),Mini-SIM,92.5 g (3.25 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~42.0% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, December. Released 2010, December",microSDHC (dedicated slot),30MB,LG Flick T320,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,Accelerometer,,,2 MP,,QCIF@15fps,About 50 EUR,,,,Yes,Yes,,,,,,,phone,lg
2304,103 x 57 x 11.9 mm (4.06 x 2.24 x 0.47 in),Mini-SIM,92.5 g (3.25 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~41.4% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010",microSDHC (dedicated slot),30MB,LG Cookie 3G T320,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,Accelerometer,,,2 MP,,QCIF@15fps,About 50 EUR,,,,Yes,Yes,,,,,,,phone,lg
2305,103 x 57 x 11.9 mm (4.06 x 2.24 x 0.47 in),Mini-SIM,92.5 g (3.25 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~41.4% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, August",microSDHC (dedicated slot),30MB,LG Wink 3G T320,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,Wi-Fi 802.11 b/g (carrier dependant),Accelerometer,,,2 MP,,QCIF@15fps,About 50 EUR,,,,Yes,Yes,,,,,,,phone,lg
2306,102.9 x 56.9 x 11.9 mm (4.05 x 2.24 x 0.47 in),Mini-SIM,86.5 g (3.03 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~41.5% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, October",microSDHC (dedicated slot),20MB,LG Cookie Style T310,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS; built-in antenna",microUSB 2.0,No,,,,2 MP,,QCIF@15fps,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2307,102.9 x 56.9 x 11.9 mm (4.05 x 2.24 x 0.47 in),Mini-SIM,86.5 g (3.03 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~41.5% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, August",microSDHC (dedicated slot),20MB,LG Wink Style T310,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP, EDR",,,No,"Stereo FM radio, RDS; built-in antenna",microUSB 2.0,Wi-Fi 802.11 b/g (carrier dependant),,,,2 MP,,320p@15fps,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2308,95.8 x 50.5 x 11.9 mm (3.77 x 1.99 x 0.47 in),Mini-SIM,77 g (2.72 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~36.9% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, August. Released 2010, September",microSDHC (dedicated slot),20MB,LG Cookie Lite T300,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,,,1.3 MP,,QCIF@15fps,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2309,114.5 x 59 x 13 mm (4.51 x 2.32 x 0.51 in),Mini-SIM,94 g (3.32 oz),176 x 220 pixels (~128 ppi density),"2.2 inches, 15.2 cm2 (~22.5% screen-to-body ratio)","TFT, 256K colors","2010, July. Released 2010, Q4",microSDHC (dedicated slot),7MB,LG C105,GSM,,,Removable Li-Ion 950 mAh battery,"2.1, A2DP",,,No,"FM radio, recording",microUSB 2.0,No,,,,1.3 MP,,QCIF@15fps,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2310,116 x 51 x 12.8 mm (4.57 x 2.01 x 0.50 in),"Dual SIM (Mini-SIM, dual stand-by)",104 g (3.67 oz),176 x 220 pixels (~128 ppi density),"2.2 inches, 15.2 cm2 (~25.7% screen-to-body ratio)","TFT, 65K colors","2010, June. Released 2010, July",microSDHC (dedicated slot),30MB,LG GX300,GSM,,,Removable Li-Po 1500 mAh battery,"2.1, A2DP, EDR",,,No,"Stereo FM radio, RDS",2.0,No,,,,2 MP,,Yes,About 70 EUR,,,,No,Yes,,,,,,,phone,lg
2311,99.6 x 47 x 16.3 mm (3.92 x 1.85 x 0.64 in),Mini-SIM,105.2 g (3.70 oz),176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm2 (~26.9% screen-to-body ratio)","TFT, 256K colors","2010, May. Released 2010, June",microSDHC (dedicated slot),100MB,LG GU292,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,A-GPS only; AT&T Navigator,No,microUSB 2.0,No,,,,,,,,,,,No,Yes,,,,,,,phone,lg
2312,108 x 53.1 x 12 mm (4.25 x 2.09 x 0.47 in),Mini-SIM,87 g (3.07 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.7% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, June. Released 2010, June",microSDHC (dedicated slot),60MB,LG GM360 Viewty Snap,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,,LED flash,"5 MP, AF",,320p@10fps,About 70 EUR,,,,Yes,Yes,,,,,,,phone,lg
2313,115 x 56 x 17 mm (4.53 x 2.20 x 0.67 in),Mini-SIM,152 g (5.36 oz),"480 x 800 pixels, 5:3 ratio (~292 ppi density)","3.2 inches, 29.1 cm2 (~45.3% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, May. Released 2010, June",microSDHC (dedicated slot),"256MB RAM, 512MB ROM",LG Fathom VS750,GSM / CDMA / HSPA / EVDO,1.0 GHz Scorpion,Microsoft Windows Mobile 6.5 Professional,Removable Li-Po battery,"2.1, A2DP",,,"GPS, A-GPS",No,microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,"3.15 MP, AF",,480p@30fps,About 40 EUR,,,,Yes,Yes,,,,,,,phone,lg
2314,109.4 x 53.3 x 15.2 mm (4.31 x 2.10 x 0.60 in),Mini-SIM,111.9 g (3.92 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~43.9% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, May. Released 2010, June",microSDHC (dedicated slot),50MB,LG Vu Plus,GSM / HSPA,,,Removable Li-Ion 950 mAh battery,"2.0, A2DP",,,"GPS, A-GPS",No,microUSB 2.0,No,,,,"3.15 MP, AF",,Yes,About 100 EUR,,,,Yes,Yes,,,,,,,phone,lg
2315,107 x 54.5 x 11.8 mm (4.21 x 2.15 x 0.46 in),Mini-SIM,98 g (3.46 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~43.9% screen-to-body ratio)","TFT, 256K colors","2010, April. Released 2010, May",microSDHC (dedicated slot),160MB,LG GT400 Viewty Smile,GSM / HSPA,,,Removable Li-Ion 1000 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,Accelerometer,,,"5 MP, AF",,320p@20fps,About 60 EUR,,,,No,Yes,,,,,,,phone,lg
2316,113.9 x 54.5 x 12.9 mm (4.48 x 2.15 x 0.51 in),Mini-SIM,-,"480 x 800 pixels, 5:3 ratio (~311 ppi density)","3.0 inches, 25.6 cm2 (~41.3% screen-to-body ratio)","TFT, 256K colors","2010, April. Released 2010, April",microSDHC (dedicated slot),,LG SU420 Cafe,GSM,,,Removable Li-Ion 1250 mAh battery,"2.1, A2DP",,,"GPS, A-GPS",No,microUSB 2.0,Wi-Fi 802.11 b/g,Accelerometer,,,3.2 MP,,Yes,,,1.3 MP,,Yes,Yes,,,,,,,phone,lg
2317,117.9 x 56.9 x 11 mm (4.64 x 2.24 x 0.43 in),Mini-SIM,135 g (4.76 oz),"480 x 640 pixels, 4:3 ratio (~229 ppi density)","3.5 inches, 37.9 cm2 (~56.5% screen-to-body ratio)","TFT,  256K colors","2010, April. Released  2010, July","microSDHC (dedicated slot), 4 GB included",,LG Optimus Z,GSM / HSPA,1.0 GHz Scorpion,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",Removable Li-Ion 1350 mAh battery,"2.1, A2DP",,,"GPS, A-GPS",No,microUSB 2.0,"Wi-Fi 802.11 b/g, DLNA, hotspot (Android 2.2)","Accelerometer, proximity, compass",,,"5 MP, AF",,720p,,,,,Yes,Yes,,,,,,,phone,lg
2318,109.3 x 52.5 x 11.7 mm (4.30 x 2.07 x 0.46 in),Mini-SIM,97 g (3.42 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.6% screen-to-body ratio)","TFT, 256K colors","2010, April. Released 2010, July",microSDHC (dedicated slot),,LG SU920,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,No,microUSB 2.0,No,Accelerometer,,,"3.2 MP, AF",,Yes,,,,,Yes,Yes,,,,,,,phone,lg
2319,105.9 x 52.6 x 11.9 mm (4.17 x 2.07 x 0.47 in),Mini-SIM,87 g (3.07 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~46.0% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, April. Released 2010, May",microSDHC (dedicated slot),4GB,LG KM570 Cookie Gig,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS; FM transmitter",2.0,No,"Accelerometer, proximity",,,"5 MP, AF",,480p@30fps,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2320,118.8 x 57 x 14.3 mm (4.68 x 2.24 x 0.56 in),Mini-SIM,157 g (5.54 oz),"480 x 800 pixels, 5:3 ratio (~267 ppi density)","3.5 inches, 34.9 cm2 (~51.5% screen-to-body ratio)",TFT,"2010, April. Released 2010, May",microSDHC (dedicated slot),3GB,LG Optimus Q LU2300,CDMA / HSPA / EVDO,1.0 GHz Scorpion,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",Removable Li-Ion 1500 mAh battery,"2.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g, hotspot (Android 2.2)","Accelerometer, proximity, compass",,,"5 MP, AF",,Yes,About 70 EUR,,,,Yes,Yes,,,,,,,phone,lg
2321,108.9 x 53.4 x 13 mm (4.29 x 2.10 x 0.51 in),"Dual SIM (Mini-SIM, dual stand-by)",118 g (4.16 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.1% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, April. Released 2010, April",microSDHC (dedicated slot),40MB,LG GX500,GSM,,,Removable Li-Po 1500 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS, recording",microUSB 2.0,Wi-Fi 802.11b/g,Accelerometer,,,"3.15 MP, AF",,320p@15fps,About 110 EUR,,,,No,Yes,,,,,,,phone,lg
2322,108.5 x 52 x 14.6 mm (4.27 x 2.05 x 0.57 in),Mini-SIM,108 g (3.81 oz),"240 x 400 pixels, 5:3 ratio (~167 ppi density)","2.8 inches, 22.3 cm2 (~39.6% screen-to-body ratio)","TFT, 256K colors","2010, April. Released 2010, June",microSDHC (dedicated slot),190MB,LG KH3900 Joypop,GSM,,,Removable Li-Ion 900 mAh battery,"2.0, A2DP",,,No,No,2.0,Wi-Fi 802.11 b/g,,,,2 MP,,Yes,,,,,No,Yes,,,,,,,phone,lg
2323,107.7 x 55.4 x 12.2 mm (4.24 x 2.18 x 0.48 in),Mini-SIM,104.9 g (4.94 oz),"480 x 800 pixels, 5:3 ratio (~311 ppi density)","3.0 inches, 25.6 cm2 (~42.9% screen-to-body ratio)",TFT,"2010, February. Released 2010, March",microSDHC (dedicated slot),150MB,LG GT950 Arena,GSM / HSPA,,,Removable Li-Ion 1000 mAh battery,"2.1, A2DP",,,"GPS, A-GPS",Streaming Radio,2.0,No,"Accelerometer, proximity",,LED flash,"5 MP, AF",,480p@30fps,About 110 EUR,,,,Yes,Yes,,,,,,,phone,lg
2324,105 x 49 x 15.7 mm (4.13 x 1.93 x 0.62 in),Mini-SIM,94 g (3.32 oz),176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm2 (~24.5% screen-to-body ratio)","TFT, 256K colors","2010, April. Released 2010, April",microSD (dedicated slot),6MB,LG GB280,GSM,,,Removable Li-Ion 800 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,,,2 MP,,QCIF@15fps,,,,,No,Yes,,,,,,,phone,lg
2325,103.9 x 44.5 x 13.9 mm (4.09 x 1.75 x 0.55 in),Mini-SIM,66.8 g (2.33 oz),"128 x 128 pixels, 1:1 ratio (~121 ppi density)","1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","TFT, 256K colors","2010, March. Released 2010, March",microSD (dedicated slot),32MB,LG GS155,GSM,,,Removable Li-Ion 950 mAh battery,No,,,No,FM radio,microUSB 1.1,No,,,,VGA,,No,About 30 EUR,,,,No,Yes,,,,,,,phone,lg
2326,103.9 x 43.5 x 12.9 mm (4.09 x 1.71 x 0.51 in),Mini-SIM,70 g (2.47 oz),"128 x 128 pixels, 1:1 ratio (~121 ppi density)","1.5 inches, 7.3 cm2 (~16.1% screen-to-body ratio)","TFT, 256K colors","2010, March. Released 2010, May",No,1MB,LG GS107,GSM,,,Removable Li-Ion 950 mAh battery,No,,,No,FM radio,microUSB 2.0,No,,,,,,,,,,,No,Yes,,,,,,,phone,lg
2327,103.9 x 43.5 x 12.9 mm (4.09 x 1.71 x 0.51 in),Mini-SIM,70 g (2.47 oz),"128 x 128 pixels, 1:1 ratio (~121 ppi density)","1.5 inches, 7.3 cm2 (~16.1% screen-to-body ratio)","TFT, 256K colors","2010, March. Released 2010, March",No,,LG GS106,GSM,,,Removable Li-Ion 950 mAh battery,No,,,No,FM radio (GS106 only),microUSB 1.1,No,,,,,,,,,,,No,Yes,,,,,,,phone,lg
2328,101 x 46 x 12.9 mm (3.98 x 1.81 x 0.51 in),Mini-SIM,65 g (2.29 oz),"128 x 128 pixels, 1:1 ratio (~119 ppi density)","1.52 inches, 7.5 cm2 (~16.0% screen-to-body ratio)","TFT, 65K colors","2010, March. Released 2010, April",No,,LG KP108,GSM,,,Removable Li-Ion 900 mAh battery,No,,,No,No,Proprietary,No,,,,,,,About 30 EUR,,,,No,Yes,,,,,,,phone,lg
2329,95.5 x 48 x 15.9 mm (3.76 x 1.89 x 0.63 in),Mini-SIM,94 g (3.32 oz),176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm2 (~27.5% screen-to-body ratio)","TFT, 256K colors","2010, March. Released 2010, April",microSD (dedicated slot),512MB,LG GD350,GSM,,,Removable Li-Ion 800 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS, recording",2.0,No,,,,2 MP,,CIF@25fps,About 70 EUR,,,,No,Yes,,,,,,,phone,lg
2330,109 x 54 x 15.9 mm (4.29 x 2.13 x 0.63 in),Mini-SIM,139 g (4.90 oz),"320 x 480 pixels, 3:2 ratio (~192 ppi density)","3.0 inches, 26.8 cm2 (~45.5% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, March. Released 2010, June",microSDHC (dedicated slot),170MB,LG KH5200 Andro,GSM,,Android OS,Removable Li-Po 1500 mAh battery,"2.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,Wi-Fi 802.11 b/g,Accelerometer,,LED flash,"5 MP, AF",,480p@30fps,About 180 EUR,,,,Yes,Yes,,,,,,,phone,lg
2331,109 x 54.5 x 12.7 mm (4.29 x 2.15 x 0.5 in),Mini-SIM,115.5 g (4.06 oz),"320 x 480 pixels, 3:2 ratio (~192 ppi density)","3.0 inches, 26.8 cm2 (~45.1% screen-to-body ratio)","TFT resistive touchscreen, 256K colors (65K effective)","2010, January. Released 2010, June",microSDHC (dedicated slot),139MB 156MB RAM,LG GT540 Optimus,GSM / HSPA,600 MHz,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",Removable Li-Ion 1500 mAh battery,"2.1, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB,Wi-Fi 802.11 b/g,Accelerometer,,,"3.15 MP, AF",,480p@17fps,About 70 EUR,,,,Yes,Yes,,,,,,,phone,lg
2332,107 x 54.5 x 11.8 mm (4.21 x 2.15 x 0.46 in),Mini-SIM,98 g (3.46 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~43.9% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, April. Released 2010, April",microSDHC (dedicated slot),60MB,LG GT405,GSM / HSPA,,,Removable Li-Ion battery,"2.0, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,Accelerometer,,,"5 MP, AF",,Yes,About 70 EUR,,,,No,Yes,,,,,,,phone,lg
2333,108 x 52.9 x 12.5 mm (4.25 x 2.08 x 0.49 in),Mini-SIM,89 g (3.14 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.8% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, March. Released 2010, April",microSDHC (dedicated slot),,LG GS290 Cookie Fresh,GSM,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS; built-in antenna",2.0,No,,,,2 MP,,Yes,About 60 EUR,,,,Yes,Yes,,,,,,,phone,lg
2334,146.8 x 64.2 x 12 mm (5.78 x 2.53 x 0.47 in),Mini-SIM,-,480 x 1024 pixels (~236 ppi density),"4.8 inches, 57.1 cm2 (~60.6% screen-to-body ratio)",TFT,"2010, January",microSDHC (dedicated slot),512MB RAM,LG GW990,GSM / HSPA,"Intel Atom (Pineview, 45nm)",MeeGo OS,Removable Li-Ion 1850 mAh battery,Yes,,,"GPS, A-GPS",-,Proprietary,Wi-Fi 802.11 b/g,Accelerometer,,LED flash,"5 MP, AF",,Yes,,,Yes,,No,Yes,,,,,,,phone,lg
2335,107 x 52.5 x 11.5 mm (4.21 x 2.07 x 0.45 in),Mini-SIM,92.5 g (3.25 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~45.6% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, February. Released 2010, April",microSDHC (dedicated slot),30MB,LG GS500 Cookie Plus,GSM / HSPA,,,Removable Li-Ion 900 mAh battery,"2.1, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,Accelerometer,,,3.15 MP,,320p@12fps,About 90 EUR,,,,Yes,Yes,,,,,,,phone,lg
2336,109 x 48 x 13 mm (4.29 x 1.89 x 0.51 in),Dual SIM (Mini-SIM),93 g (3.28 oz),176 x 220 pixels (~141 ppi density),"2.0 inches, 12.6 cm2 (~24.1% screen-to-body ratio)","TFT, 65K colors","2010, February. Released 2010, March",microSDHC (dedicated slot),80MB,LG GX200,GSM,,,Removable Li-Ion 1500 mAh battery,2.0,,,No,"Stereo FM radio, RDS, recording",2.0,No,,,,1.3 MP,,176x144,About 90 EUR,,,,No,Yes,,,,,,,phone,lg
2337,98.8 x 49.5 x 16.2 mm (3.89 x 1.95 x 0.64 in),Mini-SIM,90 g (3.17 oz),"240 x 320 pixels, 4:3 ratio (~182 ppi density)","2.2 inches, 15.0 cm2 (~30.6% screen-to-body ratio)","TFT, 256K colors","2010, February. Released 2010, March",microSDHC (dedicated slot),40MB,LG KF305,GSM,,,Removable Li-Ion 800 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,,,2 MP,,320p@15fps,About 70 EUR,,,,No,Yes,,,,,,,phone,lg
2338,102 x 47.6 x 10.6 mm (4.02 x 1.87 x 0.42 in),Mini-SIM,99 g (3.49 oz),"480 x 854 pixels, 16:9 ratio (~306 ppi density)","3.2 inches, 28.2 cm2 (~58.1% screen-to-body ratio)","TFT, 256K colors","2010, February. Released 2010, April",microSDHC (dedicated slot),330MB,LG GD880 Mini,GSM / HSPA,,,Removable Li-Ion 1000 mAh battery (LGIP-550N),"2.1, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Wi-Fi 802.11 b/g, DLNA","Accelerometer, proximity",,,"5 MP, AF",,480p@30fps,About 120 EUR,,Yes,,Yes,Yes,,,,,,,phone,lg
2339,101 x 52 x 16.4 mm (3.98 x 2.05 x 0.65 in),Mini-SIM,123.5 (4.34 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~34.0% screen-to-body ratio)","TFT resistive touchscreen, 256K colors",2010. Released 2010,microSDHC (dedicated slot),64MB,LG Etna C330,GSM / HSPA,,,"Li-Ion 900 mAh, removable",Yes,,No,No,"FM radio, RDS",Proprietary,No,,,,2 MP,,QCIF@15fps,,,,,Yes,Yes,,,,,,,phone,lg
2340,107.5 x 52.5 x 15.9 mm (4.23 x 2.07 x 0.63 in),Mini-SIM,122 g (4.30 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~45.4% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, February. Released 2010, August",microSDHC (dedicated slot),40MB,LG Wink Plus GT350i,GSM,,,Removable Li-Po 950 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, FM transmiter",microUSB 2.0,Wi-Fi b/g,,,,2 MP,,320p@12fps,,,,,No,Yes,,,,,,,phone,lg
2341,107.5 x 52.5 x 15.9 mm (4.23 x 2.07 x 0.63 in),Mini-SIM,125 g (4.41 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~45.4% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, February. Released 2010, August",microSDHC (dedicated slot),56MB,LG Town GT350,GSM,,,Removable Li-Ion 950 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, FM transmiter",microUSB 2.0,No,,,,2 MP,,320p@12fps,About 90 EUR,,,,No,Yes,,,,,,,phone,lg
2342,109.8 x 53.4 x 12.9 mm (4.32 x 2.10 x 0.51 in),Mini-SIM,121 g (4.23 oz),"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~43.7% screen-to-body ratio)","TFT resistive touchscreen, 256K colors","2010, January. Released 2010, March",microSDHC (dedicated slot),,LG KU2100,GSM / HSPA,528 MHz ARM 11,Microsoft Windows Mobile 6.5 Professional,Removable Li-Ion 1500 mAh battery,"2.1, A2DP",,,"GPS, A-GPS",No,microUSB,Wi-Fi 802.11b/g,Accelerometer,,,"5 MP, AF",,Yes,About 110 EUR,,,,No,Yes,,,,,,,phone,lg
2343,108.3 x 51.5 x 13.4 mm (4.26 x 2.03 x 0.53 in),Mini-SIM,103.5 g (3.63 oz),"240 x 400 pixels, 5:3 ratio (~167 ppi density)","2.8 inches, 22.3 cm2 (~40.0% screen-to-body ratio)","TFT, 256K colors","2010, January. Released 2010, January",microSDHC (dedicated slot),60MB,LG GD580 Lollipop,GSM / HSPA,,,Removable Li-Ion 800 mAh battery,"2.0, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,Accelerometer,,,3.15 MP,,Yes,About 70 EUR,,VGA,,No,Yes,,,,,,,phone,lg
